Id,count,people_v
1,25,30
2,20,49
3,35,39
4,24,56
5,30,51
6,11,31
7,23,46
8,35,40
9,29,66
10,18,38
11,17,31
12,20,48
13,21,25
14,21,30
15,19,26
16,21,39
17,27,45
18,15,18
19,26,39
20,20,16
21,22,30
22,32,31
23,38,40
24,25,15
25,40,29
26,24,30
27,19,19
28,20,19
29,23,9
30,25,10
31,26,12
32,25,28
33,38,24
34,17,12
35,20,14
36,19,29
37,22,32
38,25,28
39,26,63
40,33,31
41,14,59
42,27,27
43,40,40
44,18,26
45,20,30
46,20,39
47,21,16
48,16,25
49,17,31
50,25,49
51,30,56
52,30,39
53,27,51
54,17,38
55,26,48
56,7,31
57,25,46
