Index,Value,建成环境因子
0,2.0866437948559785e-05,影像绿
1,0.0013710265585679608,口袋公
2,2.627338338551398e-05,容积率
3,0.0002121158073432578,建筑密
4,0.29405186743704886,richness_n
5,1.619840357096718e-05,POI_shanno
6,4.343642624090218e-05,POI密度
7,0.004624835436475934,可达性
8,0.03612530710398371,绿视率
9,0.29405186743704886,天空开
10,0.29405186743704886,车行空
11,0.016170292399869318,人行空
12,0.027879973381791927,建筑物
13,1.3349934128169526e-05,界面围
14,1.3349934128169526e-05,安全设
15,0.0009337628177179946,小径密
16,0.026906178589471,地铁可
17,0.001506125176456917,integratio
18,0.001981305897772941,选择度
