Index,Value,建成环境因子
0,0.0,影像绿
1,0.0,口袋公
2,0.0,容积率
3,0.0,建筑密
4,0.1772,richness_n
5,0.0,POI_shanno
6,0.0051,POI密度
7,0.0012,可达性
8,0.0,绿视率
9,0.0023,天空开
10,0.0013,车行空
11,0.1772,人行空
12,0.0679,建筑物
13,0.0351,界面围
14,0.1772,安全设
15,0.1772,小径密
16,0.0,地铁可
17,0.1772,integratio
18,0.0012,选择度
