Id,count,people_v
1,19,30
52,22,39
50,16,49
51,18,56
2,17,49
56,16,31
3,25,39
5,24,51
8,22,40
4,14,56
41,13,59
53,24,51
6,24,31
49,26,31
7,37,46
57,32,46
42,30,27
40,29,31
45,23,30
9,27,66
10,19,38
11,17,31
38,17,28
54,17,38
46,35,39
55,34,48
12,34,48
13,29,25
47,23,16
48,25,25
14,27,30
22,27,31
44,16,26
15,11,26
19,24,39
43,24,40
16,34,39
18,23,18
21,17,30
27,40,19
17,17,45
33,32,24
39,25,63
20,23,16
36,15,29
37,19,32
30,21,10
23,19,40
24,23,15
31,25,12
32,20,28
25,35,29
26,19,30
34,34,12
35,17,14
28,17,19
29,16,9
