Id,count,people_v
1,16,30
52,25,39
50,18,49
51,25,56
2,15,49
56,14,31
3,29,39
5,33,51
8,36,40
4,27,56
41,20,59
53,28,51
6,16,31
49,25,31
7,26,46
57,27,46
42,27,27
40,29,31
45,23,30
9,28,66
10,25,38
11,22,31
38,36,28
54,24,38
46,34,39
55,30,48
12,27,48
13,17,25
47,14,16
48,14,25
14,23,30
22,38,31
44,17,26
15,14,26
19,21,39
43,30,40
16,33,39
18,21,18
21,14,30
27,23,19
17,42,45
33,30,24
39,21,63
20,12,16
36,12,29
37,15,32
30,32,10
23,35,40
24,20,15
31,31,12
32,20,28
25,29,29
26,20,30
34,17,12
35,11,14
28,11,19
29,14,9
