Id,count,people_v
1,9,30
52,20,39
50,20,49
51,22,56
2,19,49
56,19,31
3,29,39
5,39,51
8,36,40
4,20,56
41,19,59
53,38,51
6,20,31
49,27,31
7,29,46
57,28,46
42,33,27
40,37,31
45,18,30
9,36,66
10,25,38
11,28,31
38,17,28
54,29,38
46,30,39
55,29,48
12,28,48
13,20,25
47,16,16
48,14,25
14,19,30
22,36,31
44,15,26
15,12,26
19,18,39
43,32,40
16,29,39
18,18,18
21,17,30
27,18,19
17,24,45
33,24,24
39,13,63
20,17,16
36,15,29
37,14,32
30,27,10
23,35,40
24,22,15
31,24,12
32,23,28
25,27,29
26,19,30
34,17,12
35,17,14
28,16,19
29,16,9
