Id,count,people_v
1,19,30
52,25,39
50,17,49
51,14,56
2,18,49
56,18,31
3,28,39
5,21,51
8,35,40
4,21,56
41,22,59
53,25,51
6,16,31
49,18,31
7,25,46
57,31,46
42,24,27
40,31,31
45,20,30
9,27,66
10,30,38
11,26,31
38,31,28
54,30,38
46,42,39
55,39,48
12,31,48
13,28,25
47,17,16
48,24,25
14,19,30
22,33,31
44,17,26
15,22,26
19,20,39
43,24,40
16,40,39
18,17,18
21,14,30
27,19,19
17,34,45
33,26,24
39,17,63
20,18,16
36,14,29
37,13,32
30,27,10
23,30,40
24,19,15
31,26,12
32,19,28
25,27,29
26,23,30
34,15,12
35,12,14
28,15,19
29,14,9
