Id,count,people_v
1,18,30
52,28,39
50,23,49
51,22,56
2,20,49
56,13,31
3,27,39
5,36,51
8,33,40
4,21,56
41,16,59
53,37,51
6,20,31
49,19,31
7,31,46
57,25,46
42,30,27
40,39,31
45,28,30
9,41,66
10,19,38
11,23,31
38,28,28
54,21,38
46,21,39
55,18,48
12,20,48
13,24,25
47,18,16
48,27,25
14,23,30
22,28,31
44,12,26
15,11,26
19,15,39
43,26,40
16,24,39
18,15,18
21,21,30
27,23,19
17,27,45
33,19,24
39,16,63
20,19,16
36,31,29
37,22,32
30,20,10
23,28,40
24,15,15
31,20,12
32,17,28
25,18,29
26,24,30
34,21,12
35,31,14
28,31,19
29,34,9
