Id,count,people_v
1,19,30
52,25,39
50,27,49
51,20,56
2,21,49
56,20,31
3,26,39
5,26,51
8,28,40
4,22,56
41,15,59
53,26,51
6,16,31
49,22,31
7,30,46
57,34,46
42,33,27
40,32,31
45,20,30
9,37,66
10,36,38
11,24,31
38,27,28
54,38,38
46,25,39
55,30,48
12,18,48
13,21,25
47,10,16
48,22,25
14,20,30
22,29,31
44,18,26
15,15,26
19,18,39
43,25,40
16,26,39
18,19,18
21,14,30
27,24,19
17,28,45
33,31,24
39,12,63
20,13,16
36,16,29
37,14,32
30,25,10
23,34,40
24,28,15
31,27,12
32,30,28
25,34,29
26,29,30
34,18,12
35,23,14
28,20,19
29,18,9
