Id,count,people_v
1,13,30
52,19,39
50,13,49
51,16,56
2,21,49
56,19,31
3,27,39
5,25,51
8,26,40
4,19,56
41,13,59
53,26,51
6,18,31
49,18,31
7,24,46
57,29,46
42,27,27
40,25,31
45,18,30
9,26,66
10,21,38
11,18,31
38,24,28
54,18,38
46,35,39
55,30,48
12,25,48
13,20,25
47,22,16
48,23,25
14,19,30
22,37,31
44,25,26
15,21,26
19,32,39
43,33,40
16,38,39
18,28,18
21,16,30
27,29,19
17,27,45
33,33,24
39,30,63
20,19,16
36,18,29
37,16,32
30,29,10
23,33,40
24,26,15
31,29,12
32,29,28
25,32,29
26,28,30
34,29,12
35,23,14
28,22,19
29,20,9
