Id,count,people_v
1,21,30
52,26,39
50,24,49
51,25,56
2,24,49
56,14,31
3,31,39
5,24,51
8,29,40
4,19,56
41,13,59
53,17,51
6,12,31
49,11,31
7,22,46
57,19,46
42,19,27
40,30,31
45,23,30
9,34,66
10,16,38
11,28,31
38,32,28
54,19,38
46,33,39
55,29,48
12,28,48
13,18,25
47,22,16
48,16,25
14,24,30
22,32,31
44,18,26
15,18,26
19,27,39
43,26,40
16,33,39
18,29,18
21,20,30
27,24,19
17,38,45
33,26,24
39,18,63
20,20,16
36,20,29
37,21,32
30,24,10
23,31,40
24,25,15
31,28,12
32,26,28
25,33,29
26,29,30
34,19,12
35,24,14
28,25,19
29,26,9
