Id,count,people_v
1,14,30
52,21,39
50,20,49
51,20,56
2,22,49
56,21,31
3,30,39
5,31,51
8,34,40
4,18,56
41,15,59
53,32,51
6,21,31
49,25,31
7,26,46
57,29,46
42,28,27
40,38,31
45,25,30
9,38,66
10,14,38
11,26,31
38,28,28
54,16,38
46,34,39
55,25,48
12,24,48
13,22,25
47,14,16
48,21,25
14,26,30
22,35,31
44,17,26
15,14,26
19,22,39
43,29,40
16,34,39
18,19,18
21,16,30
27,21,19
17,31,45
33,17,24
39,18,63
20,13,16
36,21,29
37,17,32
30,28,10
23,32,40
24,25,15
31,29,12
32,20,28
25,20,29
26,18,30
34,17,12
35,20,14
28,22,19
29,19,9
