Id,count,people_v
1,13,30
52,22,39
50,30,49
51,22,56
2,25,49
56,18,31
3,23,39
5,22,51
8,27,40
4,21,56
41,16,59
53,25,51
6,13,31
49,19,31
7,27,46
57,18,46
42,27,27
40,33,31
45,21,30
9,35,66
10,22,38
11,23,31
38,20,28
54,21,38
46,32,39
55,23,48
12,25,48
13,25,25
47,21,16
48,24,25
14,26,30
22,32,31
44,16,26
15,14,26
19,24,39
43,29,40
16,33,39
18,19,18
21,21,30
27,32,19
17,21,45
33,25,24
39,20,63
20,19,16
36,20,29
37,20,32
30,27,10
23,29,40
24,24,15
31,26,12
32,25,28
25,29,29
26,27,30
34,30,12
35,22,14
28,24,19
29,20,9
